Field(mT)	GrayLevel	
5,791345 	 2096,550537
5,616932 	 2096,132324
5,462472 	 2094,856201
5,256175 	 2094,620117
5,087568 	 2094,760498
4,931472 	 2093,683838
4,725914 	 2093,920166
4,550603 	 2094,508789
4,360987 	 2094,333496
4,213654 	 2092,416748
4,009046 	 2092,997314
3,836535 	 2091,489990
3,632799 	 2091,331055
3,417134 	 2091,838379
3,243192 	 2091,292480
3,036327 	 2090,877930
2,794738 	 2090,306396
2,605846 	 2089,376465
2,422785 	 2088,798584
2,220056 	 2087,459961
2,023423 	 2086,903076
1,842271 	 2086,439209
1,594585 	 2086,519043
1,407654 	 2085,666992
1,220299 	 2085,045166
1,035065 	 2086,909912
0,815583 	 2088,348389
0,605166 	 2087,101318
0,400741 	 2087,396729
0,228018 	 2086,432861
0,023592 	 2087,060791
-0,170390 	 2086,019043
-0,393530 	 2086,966309
-0,602462 	 2087,413086
-0,799147 	 1984,783569
-0,991062 	 1982,332764
-1,207098 	 1980,705566
-1,389681 	 1978,389893
-1,605293 	 1977,151245
-1,796147 	 1977,014038
-1,976981 	 1977,087036
-2,211732 	 1976,820068
-2,398503 	 1977,098267
-2,604997 	 1977,668701
-2,799084 	 1978,921997
-2,983471 	 1979,383301
-3,185988 	 1979,987183
-3,403720 	 1981,887085
-3,614243 	 1982,799805
-3,815222 	 1983,474121
-3,994095 	 1984,996216
-4,195558 	 1986,246094
-4,473731 	 1987,290039
-4,696068 	 1988,318481
-4,900663 	 1990,251343
-5,104783 	 1991,371460
-5,326289 	 1992,846191
-5,592002 	 1995,106934
-5,790485 	 1994,537109
-6,038574 	 1995,202393
-6,235574 	 1996,409180
-6,002082 	 1996,543701
-5,780101 	 1996,300659
-5,582805 	 1994,081055
-5,329197 	 1992,470337
-5,118431 	 1991,909180
-4,901078 	 1989,980713
-4,695356 	 1989,854980
-4,463822 	 1987,637573
-4,225998 	 1986,410767
-3,974267 	 1986,765381
-3,786541 	 1984,876221
-3,599399 	 1984,363037
-3,392216 	 1984,323120
-3,184715 	 1983,016235
-2,976950 	 1981,894287
-2,782438 	 1981,243042
-2,597415 	 1981,138184
-2,399299 	 1981,015259
-2,214170 	 1980,140991
-2,004867 	 1981,583862
-1,766618 	 1982,043701
-1,586950 	 1982,576416
-1,408396 	 1983,698120
-1,203864 	 1984,363037
-1,005535 	 1984,189941
-0,786901 	 1986,393921
-0,598486 	 1989,272339
-0,399468 	 1992,440796
-0,197640 	 1996,932617
0,020888 	 2001,550781
0,220437 	 2005,878052
0,407102 	 2011,969727
0,629076 	 2086,723877
0,812137 	 2086,810547
1,032467 	 2086,014648
1,226502 	 2086,964111
1,423293 	 2085,394043
1,608210 	 2086,166504
1,822920 	 2087,125732
2,037684 	 2087,615967
2,211096 	 2087,396484
2,397444 	 2088,743408
2,626097 	 2087,741455
2,805500 	 2086,606934
3,042424 	 2086,913330
3,220183 	 2087,540527
3,412787 	 2087,513916
3,626278 	 2087,081787
3,830068 	 2086,749023
3,999238 	 2088,823242
4,192961 	 2089,367187
4,390601 	 2089,342285
4,563747 	 2090,075195
4,750408 	 2089,840576
4,909565 	 2089,827393
5,075057 	 2090,549072
5,278715 	 2090,230225
5,441674 	 2090,723389
5,644487 	 2090,449463
5,810771 	 2092,094482
