Field(mT)	GrayLevel	
-6,249696 	 2009,083130
-6,033768 	 2008,566040
-5,801403 	 2007,169556
-5,554797 	 2006,889893
-5,352517 	 2006,095337
-5,092619 	 2006,185791
-4,882981 	 2005,553223
-4,677080 	 2005,083862
-4,452429 	 2004,632568
-4,227422 	 2003,224976
-3,980311 	 2002,587402
-3,812943 	 2001,483032
-3,597331 	 2000,958862
-3,402660 	 1999,517578
-3,195689 	 1998,376465
-2,999428 	 1997,941650
-2,807249 	 1997,527954
-2,583844 	 1996,529663
-2,409106 	 1997,006958
-2,186708 	 1995,998047
-1,992780 	 1995,081299
-1,795511 	 1995,039551
-1,576665 	 1994,576660
-1,385175 	 1994,458740
-1,187217 	 1994,588501
-0,993818 	 1995,308838
-0,810016 	 1995,588135
-0,587989 	 1997,716797
-0,374975 	 1997,839844
-0,168746 	 2000,221558
0,032233 	 2002,511108
0,221232 	 2081,053711
0,396393 	 2081,203613
0,630189 	 2081,291260
0,838485 	 2081,250244
1,030505 	 2081,864014
1,213619 	 2081,840088
1,410411 	 2083,334961
1,620880 	 2083,813232
1,833205 	 2084,839111
2,036094 	 2085,467529
2,212050 	 2084,912598
2,406721 	 2085,329102
2,623765 	 2085,939453
2,812551 	 2086,469482
3,014326 	 2086,155029
3,236724 	 2087,019043
3,427207 	 2087,575684
3,615993 	 2088,139160
3,809180 	 2088,175537
4,006183 	 2088,228516
4,210645 	 2088,641113
4,357555 	 2088,661377
4,554721 	 2088,762695
4,719738 	 2088,423828
4,905237 	 2088,229980
5,113593 	 2087,644043
5,259025 	 2088,548340
5,454501 	 2088,871826
5,626381 	 2089,861816
5,801322 	 2090,564941
5,643379 	 2090,506836
5,435920 	 2089,874756
5,272592 	 2089,004395
5,103352 	 2090,199707
4,940130 	 2089,592041
4,744654 	 2089,088867
4,572194 	 2089,241211
4,391551 	 2089,345215
4,197289 	 2089,090088
4,010053 	 2089,097900
3,825985 	 2087,975830
3,636669 	 2087,644775
3,415384 	 2087,834961
3,217214 	 2086,658691
3,035744 	 2086,117920
2,824267 	 2084,500244
2,622545 	 2084,130859
2,413030 	 2082,640625
2,204522 	 2083,170898
2,030527 	 2082,370117
1,839620 	 2081,249268
1,605877 	 2081,006104
1,415924 	 2079,952637
1,228251 	 2078,268066
1,013435 	 2077,054199
0,806305 	 2075,707031
0,622608 	 2075,058594
0,415691 	 2072,536133
0,204108 	 2072,176270
0,005991 	 2071,861328
-0,193080 	 2071,241699
-0,375611 	 2008,417725
-0,602992 	 1989,637329
-0,800579 	 1987,904907
-0,983428 	 1987,192993
-1,179583 	 1986,882812
-1,383213 	 1988,270996
-1,598030 	 1987,312134
-1,796730 	 1988,292480
-1,988114 	 1988,064331
-2,203196 	 1988,192627
-2,379948 	 1989,385132
-2,580769 	 1990,465942
-2,779787 	 1990,433960
-2,973345 	 1990,599121
-3,189010 	 1990,655151
-3,396033 	 1990,452393
-3,612334 	 1990,584351
-3,782989 	 1991,026001
-3,987044 	 1991,739746
-4,201373 	 1994,238647
-4,431305 	 1994,677002
-4,693991 	 1995,561523
-4,906122 	 1996,638672
-5,099858 	 1996,052490
-5,334181 	 1996,463867
-5,569750 	 1997,409790
-5,796894 	 1997,312378
-6,013415 	 1997,455444
-6,221808 	 1996,872803
