Field(mT)	GrayLevel	
5,804595 	 2076,099121
5,619254 	 2075,642578
5,441621 	 2075,240234
5,276393 	 2075,606201
5,083503 	 2075,066406
4,928833 	 2075,127930
4,728659 	 2075,670166
4,554773 	 2075,623291
4,386695 	 2075,787842
4,208956 	 2076,637207
4,010849 	 2076,605957
3,828212 	 2076,519775
3,634760 	 2076,614258
3,440089 	 2074,749512
3,210110 	 2074,278076
3,036539 	 2073,853027
2,794579 	 2072,439453
2,617297 	 2071,344482
2,429094 	 2068,344971
2,230977 	 2065,577637
2,001899 	 2061,747070
1,821807 	 2058,399658
1,606619 	 2053,042725
1,414705 	 2048,215332
1,227721 	 2042,799805
1,007444 	 2037,966187
0,812296 	 2032,552979
0,630613 	 2027,289673
0,422159 	 2020,819214
0,224890 	 2015,696655
0,003711 	 2008,394165
-0,197905 	 2001,186035
-0,402489 	 1994,148071
-0,576166 	 1988,383057
-0,802275 	 1980,645874
-1,004581 	 1973,974609
-1,174175 	 2059,016357
-1,398058 	 2057,300293
-1,583239 	 2055,290527
-1,801555 	 2053,101074
-1,990182 	 2050,125488
-2,183422 	 2048,608398
-2,389120 	 2045,207397
-2,585010 	 2041,068115
-2,768866 	 2037,540283
-2,974405 	 2032,945923
-3,205762 	 2028,940918
-3,386278 	 2025,114258
-3,617212 	 2021,707153
-3,784103 	 2019,307129
-4,008409 	 2015,081787
-4,224574 	 2012,389893
-4,430178 	 2010,640991
-4,687642 	 2009,127441
-4,880014 	 2008,218140
-5,128281 	 2007,055542
-5,351686 	 2006,105957
-5,560731 	 2005,995483
-5,791909 	 2004,721436
-6,031216 	 2004,271118
-6,249222 	 2002,670898
-6,007007 	 2003,936035
-5,788646 	 2004,287354
-5,568030 	 2006,714111
-5,330384 	 2009,015503
-5,124305 	 2008,655518
-4,904579 	 2010,669067
-4,684082 	 2012,492187
-4,469578 	 2014,004517
-4,208316 	 2016,485596
-4,012915 	 2018,493896
-3,799318 	 2021,467163
-3,598868 	 2025,131836
-3,412945 	 2030,034546
-3,188320 	 2032,858643
-2,984637 	 2038,403320
-2,790920 	 2041,279419
-2,590577 	 2045,623779
-2,408894 	 2050,399902
-2,187663 	 2052,539551
-1,988220 	 2054,938965
-1,775100 	 2057,601807
-1,590714 	 2058,718018
-1,368687 	 2060,545410
-1,192360 	 2062,109375
-0,986290 	 2062,754395
-0,781069 	 2063,267822
-0,581998 	 2063,625488
-0,388122 	 2063,868652
-0,179031 	 2063,191650
-0,000265 	 2063,867920
0,204002 	 2064,196289
0,390350 	 2063,715576
0,605908 	 2062,716553
0,823747 	 2061,449463
1,024144 	 2061,386963
1,229471 	 2045,194824
1,425785 	 2049,954346
1,617964 	 2055,250488
1,839832 	 2060,359619
2,037154 	 2063,045654
2,227637 	 2067,518555
2,438689 	 2070,814941
2,600332 	 2072,264404
2,825169 	 2074,270264
3,031291 	 2074,531982
3,203218 	 2074,845215
3,438340 	 2075,269531
3,611010 	 2074,568604
3,814269 	 2074,262695
4,027336 	 2073,509521
4,201776 	 2073,064697
4,387592 	 2072,526367
4,546327 	 2072,684814
4,751305 	 2070,889893
4,931631 	 2069,452637
5,085351 	 2068,620361
5,286106 	 2068,353516
5,460044 	 2067,956299
5,630604 	 2069,163574
5,807445 	 2068,688232
