Field(mT)	GrayLevel	File
5,807973 	 2082,623535 	 image0000.png
5,632979 	 2082,600830 	 image0001.png
5,440459 	 2082,557373 	 image0002.png
5,265941 	 2082,159424 	 image0003.png
5,109211 	 2082,144775 	 image0004.png
4,926352 	 2081,712158 	 image0005.png
4,740959 	 2081,072754 	 image0006.png
4,551923 	 2080,894531 	 image0007.png
4,357133 	 2082,081055 	 image0008.png
4,204891 	 2081,020264 	 image0009.png
4,034281 	 2080,075195 	 image0010.png
3,827841 	 2079,525879 	 image0011.png
3,609737 	 2081,053467 	 image0012.png
3,419944 	 2079,257324 	 image0013.png
3,210747 	 2079,583984 	 image0014.png
3,043590 	 2078,882324 	 image0015.png
2,822783 	 2078,347900 	 image0016.png
2,607065 	 2079,531006 	 image0017.png
2,405025 	 2078,599854 	 image0018.png
2,209028 	 2079,306641 	 image0019.png
2,028778 	 2079,562744 	 image0020.png
1,839620 	 2079,843994 	 image0021.png
1,601795 	 2079,849609 	 image0022.png
1,430344 	 2080,883545 	 image0023.png
1,205561 	 2080,968994 	 image0024.png
1,002036 	 2081,306885 	 image0025.png
0,808691 	 2082,493164 	 image0026.png
0,619851 	 2082,566162 	 image0027.png
0,406731 	 2081,748291 	 image0028.png
0,190748 	 2082,779541 	 image0029.png
0,020994 	 2083,650146 	 image0030.png
-0,175055 	 2083,723877 	 image0031.png
-0,395544 	 2029,350952 	 image0032.png
-0,575053 	 2030,050537 	 image0033.png
-0,810069 	 2029,093872 	 image0034.png
-1,000551 	 2029,762939 	 image0035.png
-1,204129 	 2029,422485 	 image0036.png
-1,372610 	 2027,535645 	 image0037.png
-1,576188 	 2027,262085 	 image0038.png
-1,800600 	 2029,266479 	 image0039.png
-1,981169 	 2027,871460 	 image0040.png
-2,208975 	 2027,795776 	 image0041.png
-2,376078 	 2028,845703 	 image0042.png
-2,606746 	 2027,866821 	 image0043.png
-2,781643 	 2027,790161 	 image0044.png
-3,005207 	 2029,030762 	 image0045.png
-3,210216 	 2029,613647 	 image0046.png
-3,396245 	 2028,293335 	 image0047.png
-3,600406 	 2028,845703 	 image0048.png
-3,819835 	 2027,266235 	 image0049.png
-4,005016 	 2027,642456 	 image0050.png
-4,228787 	 2028,391235 	 image0051.png
-4,439078 	 2027,513916 	 image0052.png
-4,688888 	 2027,392700 	 image0053.png
-4,907546 	 2027,158447 	 image0054.png
-5,093153 	 2026,642334 	 image0055.png
-5,329909 	 2025,961914 	 image0056.png
-5,559960 	 2026,728882 	 image0057.png
-5,805794 	 2025,293457 	 image0058.png
-6,033887 	 2026,073853 	 image0059.png
-6,242813 	 2026,042236 	 image0060.png
-6,009440 	 2026,992065 	 image0061.png
-5,774583 	 2026,126709 	 image0062.png
-5,564647 	 2025,673218 	 image0063.png
-5,345159 	 2025,822021 	 image0064.png
-5,130120 	 2026,078491 	 image0065.png
-4,911106 	 2024,906372 	 image0066.png
-4,664441 	 2025,050903 	 image0067.png
-4,444300 	 2025,336914 	 image0068.png
-4,200246 	 2024,260132 	 image0069.png
-3,986355 	 2025,627197 	 image0070.png
-3,813897 	 2023,990112 	 image0071.png
-3,612334 	 2023,640869 	 image0072.png
-3,376205 	 2023,852295 	 image0073.png
-3,188745 	 2023,838379 	 image0074.png
-2,981191 	 2023,323730 	 image0075.png
-2,802583 	 2023,713989 	 image0076.png
-2,605633 	 2022,112183 	 image0077.png
-2,402267 	 2021,380005 	 image0078.png
-2,208551 	 2021,370605 	 image0079.png
-1,981912 	 2021,450439 	 image0080.png
-1,786286 	 2022,462036 	 image0081.png
-1,598083 	 2021,648926 	 image0082.png
-1,392067 	 2021,386719 	 image0083.png
-1,207787 	 2022,707031 	 image0084.png
-1,011101 	 2021,978027 	 image0085.png
-0,779956 	 2022,730957 	 image0086.png
-0,593927 	 2022,619507 	 image0087.png
-0,375611 	 2022,052612 	 image0088.png
-0,205963 	 2021,655640 	 image0089.png
0,016594 	 2023,819702 	 image0090.png
0,205592 	 2076,529541 	 image0091.png
0,416433 	 2075,679687 	 image0092.png
0,619162 	 2075,669434 	 image0093.png
0,821308 	 2075,052246 	 image0094.png
1,010148 	 2075,366699 	 image0095.png
1,195064 	 2074,296143 	 image0096.png
1,409669 	 2074,732910 	 image0097.png
1,628939 	 2073,690918 	 image0098.png
1,828381 	 2073,296143 	 image0099.png
2,027770 	 2073,591309 	 image0100.png
2,207756 	 2072,855957 	 image0101.png
2,436251 	 2073,285156 	 image0102.png
2,604891 	 2072,445557 	 image0103.png
2,794897 	 2072,514160 	 image0104.png
3,038342 	 2072,388672 	 image0105.png
3,209845 	 2072,902588 	 image0106.png
3,432243 	 2072,301514 	 image0107.png
3,606185 	 2073,318848 	 image0108.png
3,825349 	 2074,581055 	 image0109.png
4,040219 	 2072,999023 	 image0110.png
4,188685 	 2072,901123 	 image0111.png
4,381046 	 2072,769531 	 image0112.png
4,560897 	 2072,507812 	 image0113.png
4,722271 	 2072,298584 	 image0114.png
4,922234 	 2071,299805 	 image0115.png
5,086987 	 2072,921387 	 image0116.png
5,255594 	 2072,419189 	 image0117.png
5,465640 	 2070,773926 	 image0118.png
5,620521 	 2071,532471 	 image0119.png
5,779890 	 2071,716064 	 image0120.png
