Field(mT)	GrayLevel	
-6,225724 	 2000,037354
-6,027300 	 2000,351562
-5,779923 	 1999,801514
-5,595977 	 1999,389404
-5,325459 	 1999,334106
-5,124246 	 1998,478271
-4,887668 	 1997,570068
-4,680759 	 1996,862305
-4,445902 	 1997,013672
-4,232525 	 1996,481323
-4,013286 	 1996,289551
-3,795713 	 1996,556885
-3,587735 	 1995,835449
-3,402501 	 1994,793091
-3,182012 	 1994,156372
-2,998633 	 1994,008423
-2,779522 	 1993,623901
-2,578383 	 1992,712646
-2,393467 	 1992,040283
-2,184323 	 1992,766724
-1,993840 	 1992,636719
-1,804842 	 1991,945190
-1,594637 	 1991,997681
-1,398429 	 1990,929687
-1,179848 	 1990,676392
-0,987457 	 1990,257568
-0,811659 	 1989,298096
-0,581733 	 1988,306396
-0,375399 	 1987,684814
-0,180251 	 1987,006104
-0,009754 	 1985,837524
0,225155 	 1985,219604
0,396870 	 2081,645996
0,638195 	 2082,416992
0,811660 	 2082,089111
1,003362 	 2082,387207
1,225336 	 2082,233643
1,424195 	 2082,006592
1,594161 	 2081,114746
1,829812 	 2081,636230
2,011548 	 2080,824951
2,216504 	 2080,720459
2,406827 	 2081,407227
2,598954 	 2080,523926
2,823684 	 2080,507812
3,026626 	 2081,072266
3,225538 	 2081,160156
3,429539 	 2081,368896
3,614668 	 2080,258789
3,802924 	 2080,524170
4,032108 	 2079,609863
4,188157 	 2079,586914
4,381046 	 2079,148193
4,550022 	 2079,181152
4,755000 	 2079,377930
4,910093 	 2079,603027
5,105199 	 2079,492432
5,252532 	 2079,131104
5,466643 	 2080,000244
5,631343 	 2079,529785
5,808290 	 2079,149170
5,638258 	 2078,796387
5,464478 	 2078,764404
5,251529 	 2078,863770
5,105780 	 2078,856445
4,926458 	 2079,227783
4,729187 	 2079,070557
4,557571 	 2078,566650
4,383316 	 2078,471191
4,185465 	 2079,211914
4,017104 	 2078,918701
3,809763 	 2078,536621
3,631261 	 2078,570068
3,416392 	 2078,140381
3,231422 	 2077,189209
3,029647 	 2076,449463
2,796381 	 2076,829346
2,615865 	 2076,634277
2,409955 	 2076,820312
2,231136 	 2076,818604
2,016319 	 2076,186523
1,829494 	 2076,316406
1,625281 	 2076,128662
1,402989 	 2075,879883
1,229948 	 2076,279785
1,005800 	 2075,449219
0,839439 	 2075,694092
0,624411 	 2075,422363
0,418235 	 2074,828369
0,196633 	 2073,864502
-0,006998 	 2073,815186
-0,187885 	 2073,950928
-0,383669 	 1979,350464
-0,584967 	 1980,229736
-0,800102 	 1980,290771
-0,992016 	 1980,743164
-1,191564 	 1981,284546
-1,370914 	 1981,574829
-1,574598 	 1982,216553
-1,766989 	 1982,155640
-2,012024 	 1982,615845
-2,216185 	 1983,049072
-2,392937 	 1983,991211
-2,605845 	 1984,435791
-2,774061 	 1983,939209
-2,971383 	 1984,436890
-3,181163 	 1984,502075
-3,402660 	 1983,769775
-3,600459 	 1986,050293
-3,799477 	 1986,163696
-3,980841 	 1985,847900
-4,228253 	 1985,344360
-4,457651 	 1985,833374
-4,653820 	 1985,638672
-4,887431 	 1986,119385
-5,106326 	 1986,399048
-5,360349 	 1986,425903
-5,584229 	 1986,825806
-5,797368 	 1986,619629
-6,030148 	 1985,996094
-6,228810 	 1985,967773
