0deg,15deg,30deg,45deg,60deg,75deg,88deg,90deg,92deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
-0.5985720989844543,-0.6542184306889199,-0.530090650436333,-0.571761918584833,1.0,0.9922778666225995,0.9895173897703227,0.9069924783495849,0.9409281935208822,0.9000694410847627,1.0,0.6812514296504733,0.9366328200736489,0.964706198577687,0.8556053446960954,0.8831522637842617
-0.5924749109623642,-0.6684978642269794,-0.5322284117681975,-0.5817364437028514,0.9930140923443651,0.9987514215642543,0.9806233424951849,0.9363458936191724,0.9491099045894797,0.9190246754099411,0.9479427222146424,0.6939279834139926,0.969838777490851,0.9639779288567232,0.8686252814866529,0.9001379106674372
-0.6031485605103545,-0.6802123123988035,-0.5531033890311658,-0.6086742393185234,0.9716974966497456,0.9767017561519928,0.9727851617392278,0.9248710752939318,0.9779281081232456,0.874225750390712,0.9509980824353799,0.6860755976085828,0.9436622765677138,0.9625840324786867,0.8486071385470353,0.9014337783078481
-0.6111455311660456,-0.691222590572428,-0.5523982188183304,-0.6140688623398163,0.9677539056495279,0.995441410915824,0.9799146715535065,0.9645109865020227,1.0,0.9010552228226074,0.9620461344213693,0.706575895257604,0.8926783466320274,0.9498196983151113,0.8568530853465726,0.8930556907471798
-0.6122185856498445,-0.6932034847790582,-0.5584400383313304,-0.6293956309481279,0.9700988559562065,1.0,0.9693987677966167,0.9760848429599571,0.9960416334798734,0.8984780048544312,0.9924022604973677,0.736103640865384,0.8838098039635447,0.9493498272231906,0.825743884226493,0.8994629861320083
-0.6288260142031781,-0.6939076358642241,-0.5624997966959047,-0.6276507979499525,0.9521141272736491,0.9989637872809976,0.9705973347761936,0.9841143173166735,0.9966047400562301,0.8803541468567229,0.9562026491494311,0.7209911152920989,0.8929337973547018,0.9354735065066002,0.8227541408980863,0.9060772686951672
-0.646449640760191,-0.6976085190044579,-0.5843802647502668,-0.6398528622034791,0.956061794095199,0.9914100767142617,0.9811607923656804,0.9713562791447883,0.9812571122534857,0.9485263732978486,0.9571668561009854,0.7843357731397309,0.8476102101527911,0.9149644304151319,0.8110663339687438,0.9024956588397168
-0.6601837407387967,-0.7062223458377972,-0.6004724910131374,-0.6489067079245665,0.9658942620528765,0.9859104795417359,0.9802476068256067,0.9502634046739467,0.9920170111462066,0.9647618054526408,0.9897070206047849,0.7860170773143231,0.8222817102116113,0.9092478739527896,0.8097583012022243,0.9245207459400631
-0.6572464728801193,-0.6918436377960782,-0.5983925523266465,-0.6576120461415307,0.962966135211583,0.9737469181662639,0.9834532728267791,0.9845846977448762,0.9784525918567668,0.9663414204748078,0.9705035850720942,0.867225489305341,0.8268794465725351,0.9473059890104949,0.8234714244997532,0.9546629519923084
-0.667576674359305,-0.73376537506547,-0.6170252027553431,-0.6847641120486654,0.9309484204893581,0.9599869245108403,1.0,0.9905304841527327,0.9769123137888052,0.9913537348414103,0.9467577226728825,0.8456361335192442,0.8140159709850765,0.913280797838494,0.8148517505255388,0.9597518951532007
