0deg,15deg,30deg,45deg,60deg,75deg,88deg,90deg,92deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
1.225336,1.230425,1.205826,1.213619,-1.207098,-1.196919,-1.174175,-1.175501,-1.198986,-1.183347,-1.202857,-1.199835,-1.199039,-1.204129,-1.181545,-1.193208
1.424195,1.408608,1.402936,1.410411,-1.389681,-1.369589,-1.398058,-1.378018,-1.392968,-1.402723,-1.377806,-1.373512,-1.377912,-1.37261,-1.386978,-1.387508
1.594161,1.60031,1.620297,1.62088,-1.605293,-1.600257,-1.583239,-1.59978,-1.594478,-1.593047,-1.588434,-1.579846,-1.584617,-1.576188,-1.588859,-1.595273
1.829812,1.842483,1.825571,1.833205,-1.796147,-1.786392,-1.801555,-1.78459,-1.779819,-1.77632,-1.771548,-1.803092,-1.771654,-1.8006,-1.780932,-1.791005
2.011548,2.020825,2.015948,2.036094,-1.976981,-1.990288,-1.990182,-1.992621,-2.015894,-2.01001,-1.989917,-2.009161,-1.991878,-1.981169,-1.982813,-2.011494
2.216504,2.212209,2.240519,2.21205,-2.211732,-2.213428,-2.183422,-2.199697,-2.192858,-2.200492,-2.19535,-2.190207,-2.215708,-2.208975,-2.206536,-2.201659
2.406827,2.422573,2.425118,2.406721,-2.398503,-2.38456,-2.38912,-2.394898,-2.395004,-2.404494,-2.405554,-2.405925,-2.381432,-2.376078,-2.410697,-2.413666
2.598954,2.614169,2.630126,2.623765,-2.604997,-2.601498,-2.58501,-2.579443,-2.604732,-2.600755,-2.602346,-2.573665,-2.587608,-2.606746,-2.577005,-2.579019
2.823684,2.809529,2.802425,2.812551,-2.799084,-2.774008,-2.768866,-2.783286,-2.774751,-2.81096,-2.80147,-2.79145,-2.787262,-2.781643,-2.805817,-2.778886
3.026626,3.047513,3.013637,3.014326,-2.983471,-3.008653,-2.974405,-2.98241,-3.004252,-2.98082,-3.000382,-2.990044,-2.980449,-3.005207,-3.002503,-3.002927
3.225538,3.221615,3.213715,3.236724,-3.185988,-3.212336,-3.205762,-3.195849,-3.20396,-3.211806,-3.198446,-3.204437,-3.219175,-3.210216,-3.187896,-3.213927
3.429539,3.432932,3.421534,3.427207,-3.40372,-3.387233,-3.386278,-3.394019,-3.393594,-3.396033,-3.389936,-3.416338,-3.398472,-3.396245,-3.388399,-3.399002
3.614668,3.609949,3.620923,3.615993,-3.614243,-3.587629,-3.617212,-3.585615,-3.589432,-3.581055,-3.591234,-3.588796,-3.614879,-3.600406,-3.583812,-3.579253
3.802924,3.836111,3.827046,3.80918,-3.815222,-3.807058,-3.784103,-3.810292,-3.789033,-3.807535,-3.807111,-3.783467,-3.819835,-3.819835,-3.802658,-3.801174
4.032108,4.01403,4.008516,4.006183,-3.994095,-4.006554,-4.008409,-4.007455,-3.977978,-3.987892,-4.012226,-4.000298,-3.983916,-4.005016,-4.009469,-4.001146
4.188157,4.21756,4.195706,4.210645,-4.195558,-4.20879,-4.224574,-4.201848,-4.231635,-4.23656,-4.226354,-4.214427,-4.232525,-4.228787,-4.211935,-4.220302
4.381046,4.380202,4.379674,4.357555,-4.473731,-4.444419,-4.430178,-4.469874,-4.432848,-4.463288,-4.43985,-4.441392,-4.459846,-4.439078,-4.432076,-4.469044
4.550022,4.566809,4.57024,4.554721,-4.696068,-4.689244,-4.687642,-4.659754,-4.695059,-4.651743,-4.674825,-4.67886,-4.698501,-4.688888,-4.680818,-4.675893
4.755,4.716993,4.738636,4.719738,-4.900663,-4.872953,-4.880014,-4.912234,-4.881141,-4.903749,-4.904164,-4.890813,-4.912234,-4.907546,-4.885532,-4.900129
4.910093,4.937649,4.910568,4.905237,-5.104783,-5.107513,-5.128281,-5.104843,-5.124127,-5.106919,-5.126857,-5.10781,-5.126916,-5.093153,-5.113625,-5.128934
5.105199,5.084981,5.094272,5.113593,-5.326289,-5.341895,-5.351686,-5.354119,-5.320712,-5.35489,-5.321305,-5.326645,-5.317864,-5.329909,-5.351508,-5.330324
5.252532,5.280774,5.275759,5.259025,-5.592002,-5.578948,-5.560731,-5.56803,-5.589688,-5.588442,-5.570403,-5.574913,-5.565775,-5.55996,-5.584585,-5.561918
5.466643,5.446055,5.469757,5.454501,-5.790485,-5.794045,-5.791909,-5.779389,-5.790129,-5.809058,-5.783483,-5.800098,-5.780754,-5.805794,-5.794223,-5.80075
5.631343,5.632927,5.643273,5.626381,-6.038574,-6.017806,-6.031216,-6.028724,-6.012822,-6.037803,-6.002379,-6.025223,-6.028724,-6.033887,-6.004396,-6.03181
5.80829,5.81605,5.781632,5.801322,-6.235574,-6.253969,-6.249222,-6.236642,-6.224775,-6.237948,-6.235515,-6.249637,-6.227089,-6.242813,-6.23415,-6.229581
5.638258,5.613289,5.615084,5.643379,-6.002082,-5.997928,-6.007007,-6.02285,-6.013119,-6.015017,-6.007304,-6.017213,-6.012229,-6.00944,-6.02825,-6.01662
5.464478,5.446319,5.444155,5.43592,-5.780101,-5.815763,-5.788646,-5.805972,-5.809295,-5.809888,-5.799801,-5.795232,-5.815347,-5.774583,-5.815703,-5.814635
5.251529,5.251582,5.275179,5.272592,-5.582805,-5.570818,-5.56803,-5.557171,-5.579244,-5.587255,-5.565181,-5.58684,-5.564469,-5.564647,-5.56352,-5.573667
5.10578,5.085668,5.093058,5.103352,-5.329197,-5.353229,-5.330384,-5.352517,-5.34771,-5.332935,-5.352517,-5.345515,-5.348719,-5.345159,-5.321542,-5.352873
4.926458,4.934587,4.921337,4.94013,-5.118431,-5.100748,-5.124305,-5.101164,-5.113447,-5.130298,-5.129052,-5.129705,-5.126679,-5.13012,-5.130002,-5.136173
4.729187,4.723116,4.739533,4.744654,-4.901078,-4.906834,-4.904579,-4.892,-4.912293,-4.908792,-4.874851,-4.883693,-4.895679,-4.911106,-4.888558,-4.896687
4.557571,4.551923,4.558944,4.572194,-4.695356,-4.655541,-4.684082,-4.671502,-4.657499,-4.652515,-4.691024,-4.655659,-4.680047,-4.664441,-4.656253,-4.688295
4.383316,4.396777,4.378565,4.391551,-4.463822,-4.468569,-4.469578,-4.456464,-4.440028,-4.454803,-4.468332,-4.425431,-4.430534,-4.4443,-4.431542,-4.456405
4.185465,4.216029,4.186679,4.197289,-4.225998,-4.207603,-4.208316,-4.216741,-4.224337,-4.2079,-4.235492,-4.197575,-4.217513,-4.200246,-4.223862,-4.200898
4.017104,4.022724,4.034069,4.010053,-3.974267,-3.997647,-4.012915,-4.004433,-3.985401,-3.989642,-4.00878,-3.997276,-3.990119,-3.986355,-4.011166,-3.989536
3.809763,3.815966,3.826728,3.825985,-3.786541,-3.813367,-3.799318,-3.808065,-3.8201,-3.79513,-3.778112,-3.784262,-3.790146,-3.813897,-3.813685,-3.789298
3.631261,3.609419,3.60258,3.636669,-3.599399,-3.611168,-3.598868,-3.580525,-3.592454,-3.609153,-3.612493,-3.611327,-3.607086,-3.612334,-3.58588,-3.588106
3.416392,3.406743,3.435106,3.415384,-3.392216,-3.403084,-3.412945,-3.414747,-3.407802,-3.394814,-3.417981,-3.415596,-3.407537,-3.376205,-3.380182,-3.390573
3.231422,3.219918,3.234391,3.217214,-3.184715,-3.187366,-3.18832,-3.191872,-3.218433,-3.202687,-3.208201,-3.202263,-3.203059,-3.188745,-3.193357,-3.19166
3.029647,3.023975,3.042265,3.035744,-2.97695,-2.977851,-2.984637,-3.007698,-2.976791,-2.990097,-2.986863,-3.004464,-2.995452,-2.981191,-3.010402,-2.979335
2.796381,2.829092,2.829251,2.824267,-2.782438,-2.78318,-2.79092,-2.77491,-2.78424,-2.773054,-2.803379,-2.799297,-2.787527,-2.802583,-2.801947,-2.794896
2.615865,2.633466,2.606482,2.622545,-2.597415,-2.601922,-2.590577,-2.601286,-2.607753,-2.606693,-2.58554,-2.606958,-2.611464,-2.605633,-2.593651,-2.578436
2.409955,2.417589,2.425648,2.41303,-2.399299,-2.378676,-2.408894,-2.380107,-2.402798,-2.37629,-2.376502,-2.381114,-2.382493,-2.402267,-2.389862,-2.38965
2.231136,2.229333,2.205742,2.204522,-2.21417,-2.209452,-2.187663,-2.175946,-2.196675,-2.215018,-2.207702,-2.201659,-2.207755,-2.208551,-2.199114,-2.17759
2.016319,2.025968,2.040918,2.030527,-2.004867,-1.985305,-1.98822,-1.989228,-2.013668,-2.010116,-1.985093,-1.99718,-2.007253,-1.981912,-2.010434,-2.016795
1.829494,1.812848,1.813643,1.83962,-1.766618,-1.796783,-1.7751,-1.773669,-1.777857,-1.773881,-1.773245,-1.798798,-1.798904,-1.786286,-1.795935,-1.802138
1.625281,1.610383,1.624591,1.605877,-1.58695,-1.577566,-1.590714,-1.583186,-1.578574,-1.608156,-1.600734,-1.607043,-1.571311,-1.598083,-1.575446,-1.571258
1.402989,1.42006,1.430026,1.415924,-1.408396,-1.401027,-1.368687,-1.374784,-1.40214,-1.382577,-1.385016,-1.394824,-1.374943,-1.392067,-1.389946,-1.396785
1.229948,1.21293,1.204289,1.228251,-1.203864,-1.174441,-1.19236,-1.205825,-1.185733,-1.203175,-1.190769,-1.177038,-1.205666,-1.207787,-1.204871,-1.196972
1.0058,1.00702,0.998484,1.013435,-1.005535,-1.001029,-0.98629,-0.975104,-0.996522,-0.974468,-0.986927,-0.99016,-0.984223,-1.011101,-0.988676,-0.985548
0.839439,0.835569,0.808002,0.806305,-0.786901,-0.806358,-0.781069,-0.80535,-0.780857,-0.81309,-0.7816,-0.786053,-0.799466,-0.779956,-0.782342,-0.811076
0.624411,0.606068,0.629712,0.622608,-0.598486,-0.596736,-0.581998,-0.571766,-0.600659,-0.598221,-0.577757,-0.572084,-0.562648,-0.593927,-0.599917,-0.570759
0.418235,0.410972,0.40864,0.415691,-0.399468,-0.374073,-0.388122,-0.386479,-0.374391,-0.377413,-0.394378,-0.404769,-0.373172,-0.375611,-0.394484,-0.382079
0.196633,0.199125,0.200821,0.204108,-0.19764,-0.191543,-0.179031,-0.172669,-0.206546,-0.185075,-0.18253,-0.175267,-0.184598,-0.205963,-0.166361,-0.19027
-0.006998,0.031438,0.017124,0.005991,0.020888,0.004401,-0.000265,0.001856,0.02725,0.024228,0.019934,0.016117,0.016117,0.016594,-0.000795,0.018025
-0.187885,-0.202252,-0.202517,-0.19308,0.220437,0.227753,0.204002,0.22595,0.198753,0.227382,0.197375,0.199125,0.229343,0.205592,0.20379,0.214711
-0.383669,-0.404875,-0.380435,-0.375611,0.407102,0.415797,0.39035,0.426718,0.411768,0.389819,0.420515,0.398673,0.409647,0.416433,0.424809,0.406996
-0.584967,-0.568108,-0.571077,-0.602992,0.629076,0.633423,0.605908,0.632416,0.629606,0.605431,0.620276,0.629129,0.603841,0.619162,0.642542,0.620063
-0.800102,-0.805456,-0.811129,-0.800579,0.812137,0.831646,0.823747,0.797399,0.802488,0.831063,0.815954,0.828943,0.830745,0.821308,0.80657,0.819453
-0.992016,-0.975104,-0.987457,-0.983428,1.032467,1.03533,1.024144,0.997318,1.029127,1.005482,1.025787,1.006331,1.015078,1.010148,1.015979,1.019425
-1.191564,-1.187429,-1.202379,-1.179583,1.226502,1.229047,1.229471,1.21733,1.222738,1.201479,1.225389,1.20731,1.194428,1.195064,1.208212,1.2124
-1.370914,-1.384115,-1.397262,-1.383213,1.423293,1.397316,1.425785,1.400391,1.404632,1.402246,1.430503,1.392068,1.425255,1.409669,1.435911,1.402034
-1.574598,-1.591032,-1.578044,-1.59803,1.60821,1.61489,1.617964,1.596705,1.623849,1.618177,1.612186,1.606566,1.618336,1.628939,1.596705,1.602908
-1.766989,-1.766088,-1.780773,-1.79673,1.82292,1.80797,1.839832,1.831615,1.839726,1.833099,1.816718,1.819315,1.83294,1.828381,1.829812,1.833099
-2.012024,-2.013668,-1.981753,-1.988114,2.037684,2.006988,2.037154,2.01441,2.021727,2.007731,2.002959,2.022734,2.004497,2.02777,2.028088,2.024165
-2.216185,-2.186231,-2.200227,-2.203196,2.211096,2.217511,2.227637,2.227637,2.222388,2.233733,2.218306,2.230606,2.227054,2.207756,2.235165,2.236013
-2.392937,-2.396913,-2.405872,-2.379948,2.397444,2.404548,2.438689,2.406827,2.426231,2.402798,2.406668,2.404548,2.395323,2.436251,2.428457,2.408683
-2.605845,-2.582359,-2.610351,-2.580769,2.626097,2.601127,2.600332,2.621379,2.620054,2.605103,2.618251,2.615865,2.626044,2.604891,2.633148,2.600915
-2.774061,-2.801046,-2.778197,-2.779787,2.8055,2.813187,2.825169,2.794685,2.823366,2.812339,2.83275,2.794632,2.829145,2.794897,2.803857,2.822412
-2.971383,-2.993066,-2.999905,-2.973345,3.042424,3.009661,3.031291,3.034472,3.004995,3.032033,3.044386,3.027103,3.008759,3.038342,3.030178,3.042053
-3.181163,-3.212442,-3.208413,-3.18901,3.220183,3.243033,3.203218,3.235876,3.220183,3.235399,3.233172,3.240753,3.234285,3.209845,3.220448,3.216737
-3.40266,-3.386066,-3.380447,-3.396033,3.412787,3.413529,3.43834,3.428479,3.411991,3.430388,3.429645,3.414695,3.426146,3.432243,3.442316,3.411143
-3.600459,-3.596218,-3.606025,-3.612334,3.626278,3.640751,3.61101,3.632905,3.620022,3.640804,3.6381,3.613448,3.617424,3.606185,3.637994,3.625854
-3.799477,-3.799424,-3.787019,-3.782989,3.830068,3.807483,3.814269,3.809021,3.838762,3.828212,3.819146,3.830545,3.828106,3.825349,3.802712,3.818086
-3.980841,-4.005016,-4.011961,-3.987044,3.999238,4.026435,4.027336,4.038204,4.00682,4.028662,4.014083,4.030782,4.004222,4.040219,4.024155,4.008781
-4.228253,-4.210689,-4.220836,-4.201373,4.192961,4.194333,4.201776,4.211542,4.20658,4.204838,4.200615,4.202252,4.215501,4.188685,4.198345,4.202199
-4.457651,-4.451598,-4.43807,-4.431305,4.390601,4.392607,4.387592,4.356658,4.390654,4.385797,4.382788,4.393504,4.387803,4.381046,4.378249,4.389968
-4.65382,-4.668773,-4.673283,-4.693991,4.563747,4.563959,4.546327,4.562269,4.547753,4.541999,4.566334,4.566176,4.573091,4.560897,4.568446,4.563589
-4.887431,-4.911937,-4.912709,-4.906122,4.750408,4.734413,4.751305,4.72375,4.733779,4.744601,4.738425,4.725333,4.725439,4.722271,4.746924,4.726231
-5.106326,-5.136825,-5.098909,-5.099858,4.909565,4.905078,4.931631,4.942452,4.936118,4.909196,4.911466,4.906556,4.925455,4.922234,4.940552,4.910199
-5.360349,-5.321127,-5.315905,-5.334181,5.075057,5.106466,5.085351,5.093639,5.083239,5.084929,5.119083,5.07321,5.098284,5.086987,5.086987,5.079386
-5.584229,-5.55996,-5.569454,-5.56975,5.278715,5.253377,5.286106,5.255119,5.256967,5.2718,5.249365,5.276023,5.248573,5.255594,5.278293,5.260503
-5.797368,-5.774108,-5.780635,-5.796894,5.441674,5.469282,5.460044,5.435656,5.475036,5.457721,5.464109,5.465798,5.471077,5.46564,5.44368,5.455029
-6.030148,-6.025698,-6.021544,-6.013415,5.644487,5.61841,5.630604,5.615242,5.639472,5.631079,5.627436,5.631396,5.613078,5.620521,5.626856,5.632399
-6.22881,-6.247916,-6.253553,-6.221808,5.810771,5.819798,5.807445,5.810243,5.781632,5.811405,5.791345,5.810454,5.818109,5.77989,5.807393,5.809663
