Field(mT)	GrayLevel	File
5,784905 	 2083,337158 	 image0000.png
5,635513 	 2084,258789 	 image0001.png
5,441410 	 2084,329102 	 image0002.png
5,267683 	 2083,874512 	 image0003.png
5,102824 	 2084,222168 	 image0004.png
4,935326 	 2084,581055 	 image0005.png
4,721849 	 2084,386719 	 image0006.png
4,545694 	 2085,581787 	 image0007.png
4,375292 	 2087,217285 	 image0008.png
4,220728 	 2087,493408 	 image0009.png
4,026064 	 2088,328125 	 image0010.png
3,814693 	 2089,010742 	 image0011.png
3,605496 	 2088,085449 	 image0012.png
3,416869 	 2089,677246 	 image0013.png
3,242025 	 2089,073730 	 image0014.png
3,032616 	 2088,580811 	 image0015.png
2,823207 	 2086,981445 	 image0016.png
2,605634 	 2084,684326 	 image0017.png
2,409902 	 2081,349121 	 image0018.png
2,207968 	 2078,985352 	 image0019.png
2,030209 	 2075,312744 	 image0020.png
1,830926 	 2071,608154 	 image0021.png
1,617805 	 2067,254639 	 image0022.png
1,396680 	 2063,006348 	 image0023.png
1,203440 	 2058,299561 	 image0024.png
1,037556 	 2053,434082 	 image0025.png
0,829102 	 2049,336182 	 image0026.png
0,628387 	 2043,838013 	 image0027.png
0,405247 	 2037,844604 	 image0028.png
0,221550 	 2031,902344 	 image0029.png
0,019404 	 2025,390625 	 image0030.png
-0,202146 	 2018,916870 	 image0031.png
-0,386320 	 2012,435303 	 image0032.png
-0,599652 	 2006,027588 	 image0033.png
-0,784038 	 1999,968628 	 image0034.png
-1,004262 	 1993,605347 	 image0035.png
-1,193208 	 2033,361694 	 image0036.png
-1,387508 	 2031,325806 	 image0037.png
-1,595273 	 2028,762573 	 image0038.png
-1,791005 	 2027,025391 	 image0039.png
-2,011494 	 2024,823608 	 image0040.png
-2,201659 	 2022,060547 	 image0041.png
-2,413666 	 2019,136108 	 image0042.png
-2,579019 	 2017,231812 	 image0043.png
-2,778886 	 2013,294922 	 image0044.png
-3,002927 	 2010,010498 	 image0045.png
-3,213927 	 2005,645264 	 image0046.png
-3,399002 	 1999,504639 	 image0047.png
-3,579253 	 1998,868896 	 image0048.png
-3,801174 	 1997,167236 	 image0049.png
-4,001146 	 1991,705933 	 image0050.png
-4,220302 	 1990,945679 	 image0051.png
-4,469044 	 1991,514648 	 image0052.png
-4,675893 	 1989,766846 	 image0053.png
-4,900129 	 1988,562256 	 image0054.png
-5,128934 	 1987,305054 	 image0055.png
-5,330324 	 1983,932617 	 image0056.png
-5,561918 	 1981,158447 	 image0057.png
-5,800750 	 1981,168945 	 image0058.png
-6,031810 	 1981,606445 	 image0059.png
-6,229581 	 1981,923828 	 image0060.png
-6,016620 	 1982,533081 	 image0061.png
-5,814635 	 1983,157837 	 image0062.png
-5,573667 	 1982,685669 	 image0063.png
-5,352873 	 1983,497559 	 image0064.png
-5,136173 	 1984,482544 	 image0065.png
-4,896687 	 1984,602295 	 image0066.png
-4,688295 	 1986,365967 	 image0067.png
-4,456405 	 1987,713501 	 image0068.png
-4,200898 	 1990,158936 	 image0069.png
-3,989536 	 1992,480347 	 image0070.png
-3,789298 	 1995,117310 	 image0071.png
-3,588106 	 1996,334473 	 image0072.png
-3,390573 	 1999,061768 	 image0073.png
-3,191660 	 2002,025269 	 image0074.png
-2,979335 	 2005,536499 	 image0075.png
-2,794896 	 2007,981445 	 image0076.png
-2,578436 	 2011,329834 	 image0077.png
-2,389650 	 2014,198242 	 image0078.png
-2,177590 	 2018,298218 	 image0079.png
-2,016795 	 2020,278198 	 image0080.png
-1,802138 	 2022,944702 	 image0081.png
-1,571258 	 2025,084106 	 image0082.png
-1,396785 	 2026,348755 	 image0083.png
-1,196972 	 2027,764404 	 image0084.png
-0,985548 	 2030,621826 	 image0085.png
-0,811076 	 2031,674072 	 image0086.png
-0,570759 	 2032,743774 	 image0087.png
-0,382079 	 2034,000610 	 image0088.png
-0,190270 	 2033,931519 	 image0089.png
0,018025 	 2034,632446 	 image0090.png
0,214711 	 2035,843262 	 image0091.png
0,406996 	 2036,483398 	 image0092.png
0,620063 	 2036,991943 	 image0093.png
0,819453 	 2037,524170 	 image0094.png
1,019425 	 2038,156616 	 image0095.png
1,212400 	 2038,839844 	 image0096.png
1,402034 	 2056,799072 	 image0097.png
1,602908 	 2060,054443 	 image0098.png
1,833099 	 2063,512695 	 image0099.png
2,024165 	 2067,261230 	 image0100.png
2,236013 	 2069,291260 	 image0101.png
2,408683 	 2071,102783 	 image0102.png
2,600915 	 2072,736328 	 image0103.png
2,822412 	 2073,308594 	 image0104.png
3,042053 	 2073,429199 	 image0105.png
3,216737 	 2073,362793 	 image0106.png
3,411143 	 2072,895020 	 image0107.png
3,625854 	 2072,011963 	 image0108.png
3,818086 	 2070,951416 	 image0109.png
4,008781 	 2070,356934 	 image0110.png
4,202199 	 2069,568359 	 image0111.png
4,389968 	 2068,829102 	 image0112.png
4,563589 	 2068,554199 	 image0113.png
4,726231 	 2066,678955 	 image0114.png
4,910199 	 2066,550781 	 image0115.png
5,079386 	 2066,857910 	 image0116.png
5,260503 	 2065,326172 	 image0117.png
5,455029 	 2065,391846 	 image0118.png
5,632399 	 2064,804932 	 image0119.png
5,809663 	 2064,346924 	 image0120.png
