Field(mT)	GrayLevel	
5,806706 	 2065,211670
5,609752 	 2064,117676
5,463898 	 2064,181885
5,273912 	 2064,414062
5,098601 	 2065,052002
4,906767 	 2064,291260
4,721849 	 2064,311523
4,567020 	 2064,995361
4,389017 	 2064,591797
4,212070 	 2064,092773
4,009311 	 2064,606201
3,812202 	 2064,715576
3,609366 	 2065,095459
3,428956 	 2063,916992
3,221297 	 2063,085937
3,040834 	 2062,139648
2,828296 	 2063,872559
2,627317 	 2062,726807
2,416582 	 2062,307129
2,204204 	 2061,919922
2,038214 	 2060,868408
1,813537 	 2060,849365
1,599568 	 2060,889648
1,425202 	 2059,820801
1,222367 	 2059,421631
1,017729 	 2058,659424
0,822157 	 2056,739990
0,630030 	 2055,883301
0,424438 	 2053,031250
0,214234 	 2051,390625
-0,001060 	 2048,638916
-0,206970 	 2045,129150
-0,388493 	 2042,691040
-0,577280 	 2052,149170
-0,803654 	 2050,474365
-1,002036 	 2048,893799
-1,202857 	 2047,059937
-1,377806 	 2045,131226
-1,588434 	 2043,357910
-1,771548 	 2043,126831
-1,989917 	 2040,646240
-2,195350 	 2039,481323
-2,405554 	 2038,219971
-2,602346 	 2037,075806
-2,801470 	 2036,354980
-3,000382 	 2036,287598
-3,198446 	 2035,506104
-3,389936 	 2034,313721
-3,591234 	 2032,448242
-3,807111 	 2031,980835
-4,012226 	 2029,871216
-4,226354 	 2028,700562
-4,439850 	 2028,727539
-4,674825 	 2028,172607
-4,904164 	 2028,055420
-5,126857 	 2026,043213
-5,321305 	 2025,759277
-5,570403 	 2026,345947
-5,783483 	 2026,443359
-6,002379 	 2026,224121
-6,235515 	 2023,235596
-6,007304 	 2023,902100
-5,799801 	 2024,432129
-5,565181 	 2023,181274
-5,352517 	 2023,794800
-5,129052 	 2026,084717
-4,874851 	 2026,743408
-4,691024 	 2026,902466
-4,468332 	 2029,204346
-4,235492 	 2029,958862
-4,008780 	 2029,860840
-3,778112 	 2030,552124
-3,612493 	 2032,611938
-3,417981 	 2034,566650
-3,208201 	 2032,282959
-2,986863 	 2034,209106
-2,803379 	 2033,855713
-2,585540 	 2037,044189
-2,376502 	 2038,430908
-2,207702 	 2040,017578
-1,985093 	 2043,009155
-1,773245 	 2044,153442
-1,600734 	 2045,014648
-1,385016 	 2046,480103
-1,190769 	 2048,020264
-0,986927 	 2049,987793
-0,781600 	 2051,020996
-0,577757 	 2052,454346
-0,394378 	 2052,883057
-0,182530 	 2052,635254
0,019934 	 2052,796875
0,197375 	 2054,225098
0,420515 	 2050,206543
0,620276 	 2052,435303
0,815954 	 2053,045654
1,025787 	 2054,889893
1,225389 	 2056,236816
1,430503 	 2057,526123
1,612186 	 2058,526855
1,816718 	 2059,082275
2,002959 	 2061,585205
2,218306 	 2059,437744
2,406668 	 2059,951172
2,618251 	 2060,703125
2,832750 	 2059,838379
3,044386 	 2059,650146
3,233172 	 2059,104004
3,429645 	 2059,301025
3,638100 	 2058,455322
3,819146 	 2058,553711
4,014083 	 2057,351074
4,200615 	 2057,277832
4,382788 	 2056,690674
4,566334 	 2056,416016
4,738425 	 2056,008301
4,911466 	 2056,506836
5,119083 	 2056,089111
5,249365 	 2055,252686
5,464109 	 2056,207275
5,627436 	 2056,204102
5,791345 	 2056,007812
