Field(mT)	GrayLevel	File
5,804489 	 2085,425293 	 image0000.png
5,608327 	 2085,952637 	 image0001.png
5,470179 	 2085,141846 	 image0002.png
5,285895 	 2085,475830 	 image0003.png
5,098918 	 2084,215820 	 image0004.png
4,934851 	 2084,094727 	 image0005.png
4,730454 	 2083,621338 	 image0006.png
4,560844 	 2083,568359 	 image0007.png
4,386325 	 2084,123779 	 image0008.png
4,210698 	 2083,774658 	 image0009.png
4,011167 	 2083,170898 	 image0010.png
3,831976 	 2082,722656 	 image0011.png
3,635131 	 2082,202637 	 image0012.png
3,430706 	 2083,280029 	 image0013.png
3,214139 	 2083,428711 	 image0014.png
3,007540 	 2083,654297 	 image0015.png
2,801471 	 2083,231445 	 image0016.png
2,629808 	 2080,246582 	 image0017.png
2,428086 	 2079,211670 	 image0018.png
2,205370 	 2080,429443 	 image0019.png
2,029838 	 2079,836914 	 image0020.png
1,829759 	 2078,318115 	 image0021.png
1,625174 	 2077,070801 	 image0022.png
1,408396 	 2077,691895 	 image0023.png
1,205137 	 2077,600098 	 image0024.png
1,035012 	 2078,052734 	 image0025.png
0,801428 	 2078,553711 	 image0026.png
0,622555 	 2079,226318 	 image0027.png
0,395280 	 2079,154785 	 image0028.png
0,220755 	 2079,809814 	 image0029.png
-0,007210 	 2077,707520 	 image0030.png
-0,176115 	 2010,464722 	 image0031.png
-0,386267 	 2010,268066 	 image0032.png
-0,585338 	 2013,208008 	 image0033.png
-0,809591 	 2014,137451 	 image0034.png
-0,984753 	 2015,301758 	 image0035.png
-1,181545 	 2016,425293 	 image0036.png
-1,386978 	 2017,631592 	 image0037.png
-1,588859 	 2018,434814 	 image0038.png
-1,780932 	 2019,307617 	 image0039.png
-1,982813 	 2020,179932 	 image0040.png
-2,206536 	 2019,366943 	 image0041.png
-2,410697 	 2020,796509 	 image0042.png
-2,577005 	 2022,083252 	 image0043.png
-2,805817 	 2022,827271 	 image0044.png
-3,002503 	 2023,732178 	 image0045.png
-3,187896 	 2024,623047 	 image0046.png
-3,388399 	 2024,926758 	 image0047.png
-3,583812 	 2025,485840 	 image0048.png
-3,802658 	 2026,090210 	 image0049.png
-4,009469 	 2027,353149 	 image0050.png
-4,211935 	 2026,634521 	 image0051.png
-4,432076 	 2027,774292 	 image0052.png
-4,680818 	 2028,097412 	 image0053.png
-4,885532 	 2029,135010 	 image0054.png
-5,113625 	 2029,415771 	 image0055.png
-5,351508 	 2028,605103 	 image0056.png
-5,584585 	 2027,954468 	 image0057.png
-5,794223 	 2029,120483 	 image0058.png
-6,004396 	 2029,237671 	 image0059.png
-6,234150 	 2028,251953 	 image0060.png
-6,028250 	 2029,140137 	 image0061.png
-5,815703 	 2029,246460 	 image0062.png
-5,563520 	 2028,483643 	 image0063.png
-5,321542 	 2028,437988 	 image0064.png
-5,130002 	 2029,409302 	 image0065.png
-4,888558 	 2029,204468 	 image0066.png
-4,656253 	 2029,020142 	 image0067.png
-4,431542 	 2029,345703 	 image0068.png
-4,223862 	 2028,907959 	 image0069.png
-4,011166 	 2028,859375 	 image0070.png
-3,813685 	 2028,554810 	 image0071.png
-3,585880 	 2028,091431 	 image0072.png
-3,380182 	 2027,848877 	 image0073.png
-3,193357 	 2027,720093 	 image0074.png
-3,010402 	 2027,246094 	 image0075.png
-2,801947 	 2026,997070 	 image0076.png
-2,593651 	 2026,017822 	 image0077.png
-2,389862 	 2026,456177 	 image0078.png
-2,199114 	 2026,348999 	 image0079.png
-2,010434 	 2025,830444 	 image0080.png
-1,795935 	 2026,341675 	 image0081.png
-1,575446 	 2025,572266 	 image0082.png
-1,389946 	 2025,191162 	 image0083.png
-1,204871 	 2024,787842 	 image0084.png
-0,988676 	 2024,115356 	 image0085.png
-0,782342 	 2023,771729 	 image0086.png
-0,599917 	 2023,657349 	 image0087.png
-0,394484 	 2022,684204 	 image0088.png
-0,166361 	 2022,304565 	 image0089.png
-0,000795 	 2021,372559 	 image0090.png
0,203790 	 2021,145630 	 image0091.png
0,424809 	 2090,416260 	 image0092.png
0,642542 	 2091,273682 	 image0093.png
0,806570 	 2090,737305 	 image0094.png
1,015979 	 2089,944336 	 image0095.png
1,208212 	 2089,854248 	 image0096.png
1,435911 	 2089,421143 	 image0097.png
1,596705 	 2089,846680 	 image0098.png
1,829812 	 2089,878174 	 image0099.png
2,028088 	 2089,701416 	 image0100.png
2,235165 	 2088,886719 	 image0101.png
2,428457 	 2089,309814 	 image0102.png
2,633148 	 2088,620605 	 image0103.png
2,803857 	 2088,614502 	 image0104.png
3,030178 	 2088,996826 	 image0105.png
3,220448 	 2088,270996 	 image0106.png
3,442316 	 2088,381592 	 image0107.png
3,637994 	 2088,313232 	 image0108.png
3,802712 	 2087,669678 	 image0109.png
4,024155 	 2086,716064 	 image0110.png
4,198345 	 2087,451172 	 image0111.png
4,378249 	 2087,510498 	 image0112.png
4,568446 	 2087,341553 	 image0113.png
4,746924 	 2086,807373 	 image0114.png
4,940552 	 2086,391113 	 image0115.png
5,086987 	 2086,025635 	 image0116.png
5,278293 	 2085,946289 	 image0117.png
5,443680 	 2086,855225 	 image0118.png
5,626856 	 2086,787354 	 image0119.png
5,807393 	 2086,212646 	 image0120.png
