0deg,15deg,30deg,45deg,60deg,75deg,90deg,105deg,120deg,135deg,150deg,165deg,180deg,270deg
1994.793091,1991.877197,1995.173096,1999.517578,2091.838379,2090.846436,2088.26001,2066.465088,2063.916992,2055.455322,2069.200195,2079.257324,2083.280029,2089.677246
1994.156372,1991.35791,1994.606689,1998.376465,2091.29248,2088.938232,2086.091309,2066.30127,2063.085937,2055.656982,2069.187744,2079.583984,2083.428711,2089.07373
1994.008423,1990.423096,1994.136963,1997.94165,2090.87793,2085.773193,2086.860352,2066.414795,2062.139648,2056.841064,2068.791748,2078.882324,2083.654297,2088.580811
1993.623901,1990.566895,1993.85144,1997.527954,2090.306396,2084.258545,2084.657471,2066.562012,2063.872559,2057.794434,2069.068604,2078.3479,2083.231445,2086.981445
1992.712646,1990.445557,1993.809204,1996.529663,2089.376465,2081.00415,2081.924805,2065.939697,2062.726807,2057.27124,2068.411865,2079.531006,2080.246582,2084.684326
1992.040283,1989.570923,1993.167603,1997.006958,2088.798584,2081.857178,2080.967773,2066.287354,2062.307129,2057.455566,2069.479492,2078.599854,2079.21167,2081.349121
1992.766724,1989.263306,1992.527588,1995.998047,2087.459961,2079.893799,2076.858154,2064.284912,2061.919922,2057.592529,2070.039551,2079.306641,2080.429443,2078.985352
1992.636719,1988.812622,1991.821167,1995.081299,2086.903076,2079.756592,2074.61084,2064.44043,2060.868408,2057.271729,2069.659912,2079.562744,2079.836914,2075.312744
1991.94519,1987.747437,1990.775879,1995.039551,2086.439209,2078.788574,2071.471436,2061.49707,2060.849365,2056.756104,2070.245361,2079.843994,2078.318115,2071.608154
1991.997681,1986.667358,1990.160767,1994.57666,2086.519043,2078.012939,2064.240234,2059.296875,2060.889648,2058.070801,2069.630371,2079.849609,2077.070801,2067.254639
1990.929687,1985.981445,1989.54541,1994.45874,2085.666992,2078.318848,2058.129395,2056.420166,2059.820801,2057.726074,2069.473877,2080.883545,2077.691895,2063.006348
1990.676392,1984.499023,1988.94751,1994.588501,2085.045166,2078.428955,2049.885986,2055.333496,2059.421631,2057.25,2069.06958,2080.968994,2077.600098,2058.299561
1990.257568,1985.193359,1988.991577,1995.308838,2086.909912,2079.124512,2039.83252,2053.059326,2058.659424,2057.235352,2069.377441,2081.306885,2078.052734,2053.434082
1989.298096,1984.174805,1988.482178,1995.588135,2088.348389,2078.791504,2036.682739,2050.169189,2056.73999,2055.363037,2069.049316,2082.493164,2078.553711,2049.336182
1988.306396,1983.701904,1987.29895,1997.716797,2087.101318,2080.199951,2026.325195,2045.380493,2055.883301,2055.271973,2069.603271,2082.566162,2079.226318,2043.838013
1987.684814,1983.196655,1987.640015,1997.839844,2087.396729,2080.112549,2019.065308,2042.769775,2053.03125,2053.127197,2069.113525,2081.748291,2079.154785,2037.844604
1987.006104,1982.853394,1988.015869,2000.221558,2086.432861,2079.202393,2008.841431,2038.847046,2051.390625,2053.150879,2072.601074,2082.779541,2079.809814,2031.902344
1985.837524,1982.222168,1987.072876,2002.511108,2087.060791,2080.159912,2002.224243,2036.050293,2048.638916,2051.035645,2070.211182,2083.650146,2077.70752,2025.390625
1985.219604,1980.644531,1986.527466,2081.053711,2086.019043,2081.408691,1993.154541,2029.998657,2045.12915,2050.954346,2070.253662,2083.723877,2010.464722,2018.91687
2081.645996,2074.518555,2074.867432,2081.203613,2086.966309,2081.183838,1986.980469,2025.915771,2042.69104,2036.340942,2033.086182,2029.350952,2010.268066,2012.435303
2082.416992,2076.012207,2075.248291,2081.29126,2087.413086,2081.820557,1976.121948,2057.033203,2052.14917,2034.525146,2032.084473,2030.050537,2013.208008,2006.027588
2082.089111,2076.634521,2076.627441,2081.250244,1984.783569,2080.856201,1969.921753,2057.5271,2050.474365,2033.473755,2031.661621,2029.093872,2014.137451,1999.968628
2082.387207,2076.652344,2078.394775,2081.864014,1982.332764,2082.265381,2038.236816,2056.481445,2048.893799,2030.327271,2029.109497,2029.762939,2015.301758,1993.605347
2082.233643,2077.583252,2079.613281,2081.840088,1980.705566,2080.233643,2038.066772,2055.263184,2047.059937,2029.027588,2029.386719,2029.422485,2016.425293,2033.361694
2082.006592,2078.296143,2080.182861,2083.334961,1978.389893,2077.95166,2034.775513,2053.210449,2045.131226,2027.570435,2029.015625,2027.535645,2017.631592,2031.325806
2081.114746,2079.715576,2081.087158,2083.813232,1977.151245,1968.849243,2028.924072,2050.897705,2043.35791,2025.238037,2029.193359,2027.262085,2018.434814,2028.762573
2081.63623,2080.110596,2080.844727,2084.839111,1977.014038,1967.745239,2024.517944,2049.457275,2043.126831,2022.962524,2027.994263,2029.266479,2019.307617,2027.025391
2080.824951,2079.889404,2080.761719,2085.467529,1977.087036,1965.319336,2023.448242,2047.301514,2040.64624,2021.497559,2026.572876,2027.87146,2020.179932,2024.823608
2080.720459,2080.259766,2080.625977,2084.912598,1976.820068,1965.104248,2019.739746,2045.485107,2039.481323,2021.553101,2026.647461,2027.795776,2019.366943,2022.060547
2081.407227,2080.695801,2081.349365,2085.329102,1977.098267,1963.750488,2018.898315,2044.010864,2038.219971,2019.062012,2025.357666,2028.845703,2020.796509,2019.136108
2080.523926,2080.466064,2081.890381,2085.939453,1977.668701,1963.358398,2013.88623,2042.764038,2037.075806,2018.446899,2024.879395,2027.866821,2022.083252,2017.231812
2080.507812,2082.430176,2081.931396,2086.469482,1978.921997,1964.682983,2011.55481,2040.655518,2036.35498,2017.38147,2026.127197,2027.790161,2022.827271,2013.294922
2081.072266,2083.317139,2082.334229,2086.155029,1979.383301,1966.222656,2006.765747,2038.828369,2036.287598,2015.343384,2026.376953,2029.030762,2023.732178,2010.010498
2081.160156,2083.3479,2083.901855,2087.019043,1979.987183,1968.40271,2003.603027,2037.591431,2035.506104,2014.932007,2025.692505,2029.613647,2024.623047,2005.645264
2081.368896,2083.421875,2084.678955,2087.575684,1981.887085,1971.783447,1999.005371,2036.715576,2034.313721,2012.856567,2026.161377,2028.293335,2024.926758,1999.504639
2080.258789,2084.245117,2083.896973,2088.13916,1982.799805,1974.51001,1997.518555,2035.669434,2032.448242,2011.152222,2025.57019,2028.845703,2025.48584,1998.868896
2080.52417,2084.332764,2085.539551,2088.175537,1983.474121,1977.85144,1993.508545,2034.020996,2031.980835,2012.005127,2025.717285,2027.266235,2026.09021,1997.167236
2079.609863,2084.344238,2084.76123,2088.228516,1984.996216,1981.218018,1991.843384,2031.694214,2029.871216,2010.108521,2025.755127,2027.642456,2027.353149,1991.705933
2079.586914,2084.446533,2085.036621,2088.641113,1986.246094,1983.47876,1989.811035,2029.68103,2028.700562,2009.592896,2025.90332,2028.391235,2026.634521,1990.945679
2079.148193,2084.658447,2085.399658,2088.661377,1987.290039,1984.677734,1986.900024,2028.923462,2028.727539,2009.581055,2025.692505,2027.513916,2027.774292,1991.514648
2079.181152,2084.079834,2084.781982,2088.762695,1988.318481,1986.199341,1985.916748,2028.127441,2028.172607,2008.863281,2025.410034,2027.3927,2028.097412,1989.766846
2079.37793,2084.48584,2085.151123,2088.423828,1990.251343,1989.183228,1986.300171,2027.955933,2028.05542,2009.653076,2026.609619,2027.158447,2029.13501,1988.562256
2079.603027,2084.791504,2085.988037,2088.22998,1991.37146,1990.931641,1984.921021,2027.856934,2026.043213,2007.527954,2026.048462,2026.642334,2029.415771,1987.305054
2079.492432,2084.408936,2085.734131,2087.644043,1992.846191,1992.40979,1981.579712,2026.818481,2025.759277,2007.31958,2025.617798,2025.961914,2028.605103,1983.932617
2079.131104,2085.106201,2085.427979,2088.54834,1995.106934,1993.220825,1980.683105,2026.28418,2026.345947,2006.956909,2025.279907,2026.728882,2027.954468,1981.158447
2080.000244,2085.932617,2086.576904,2088.871826,1994.537109,1994.213623,1981.150513,2026.602905,2026.443359,2007.525269,2024.811035,2025.293457,2029.120483,1981.168945
2079.529785,2086.240234,2085.814209,2089.861816,1995.202393,1994.840576,1980.815186,2026.006958,2026.224121,2007.842407,2026.301392,2026.073853,2029.237671,1981.606445
2079.14917,2086.338623,2086.36084,2090.564941,1996.40918,1995.744385,1979.800537,2025.449463,2023.235596,2007.678711,2026.34436,2026.042236,2028.251953,1981.923828
2078.796387,2085.631592,2086.025391,2090.506836,1996.543701,1994.906494,1979.680298,2025.946899,2023.9021,2009.171143,2026.381714,2026.992065,2029.140137,1982.533081
2078.764404,2084.974854,2086.005127,2089.874756,1996.300659,1995.174072,1980.152954,2028.583984,2024.432129,2008.225952,2026.877563,2026.126709,2029.24646,1983.157837
