Field(mT)	GrayLevel	
-6,244771 	 1998,874146
-6,040532 	 1998,119141
-5,788052 	 1997,499756
-5,581380 	 1996,917603
-5,354771 	 1996,812866
-5,132079 	 1996,775635
-4,898705 	 1996,579956
-4,654473 	 1996,124512
-4,462813 	 1996,884766
-4,235967 	 1994,668213
-3,985613 	 1993,972290
-3,780392 	 1993,035645
-3,608305 	 1993,086914
-3,395344 	 1991,877197
-3,190123 	 1991,357910
-3,010190 	 1990,423096
-2,797494 	 1990,566895
-2,604891 	 1990,445557
-2,399246 	 1989,570923
-2,190579 	 1989,263306
-2,010593 	 1988,812622
-1,788354 	 1987,747437
-1,566062 	 1986,667358
-1,403518 	 1985,981445
-1,194374 	 1984,499023
-0,988729 	 1985,193359
-0,803919 	 1984,174805
-0,565563 	 1983,701904
-0,375717 	 1983,196655
-0,177017 	 1982,853394
-0,001802 	 1982,222168
0,211636 	 1980,644531
0,399309 	 2074,518555
0,612482 	 2076,012207
0,805934 	 2076,634521
1,026794 	 2076,652344
1,230425 	 2077,583252
1,408608 	 2078,296143
1,600310 	 2079,715576
1,842483 	 2080,110596
2,020825 	 2079,889404
2,212209 	 2080,259766
2,422573 	 2080,695801
2,614169 	 2080,466064
2,809529 	 2082,430176
3,047513 	 2083,317139
3,221615 	 2083,347900
3,432932 	 2083,421875
3,609949 	 2084,245117
3,836111 	 2084,332764
4,014030 	 2084,344238
4,217560 	 2084,446533
4,380202 	 2084,658447
4,566809 	 2084,079834
4,716993 	 2084,485840
4,937649 	 2084,791504
5,084981 	 2084,408936
5,280774 	 2085,106201
5,446055 	 2085,932617
5,632927 	 2086,240234
5,816050 	 2086,338623
5,613289 	 2085,631592
5,446319 	 2084,974854
5,251582 	 2084,938477
5,085668 	 2083,959961
4,934587 	 2084,567871
4,723116 	 2083,910156
4,551923 	 2083,534424
4,396777 	 2083,812744
4,216029 	 2083,644287
4,022724 	 2083,256348
3,815966 	 2083,157959
3,609419 	 2082,267334
3,406743 	 2081,780518
3,219918 	 2081,505127
3,023975 	 2080,594482
2,829092 	 2080,934570
2,633466 	 2079,918701
2,417589 	 2079,804932
2,229333 	 2079,448975
2,025968 	 2079,063965
1,812848 	 2077,997314
1,610383 	 2077,810303
1,420060 	 2076,544434
1,212930 	 2076,878174
1,007020 	 2075,649902
0,835569 	 2074,440674
0,606068 	 2074,366699
0,410972 	 2073,394287
0,199125 	 2072,661621
0,031438 	 2071,576660
-0,202252 	 2070,804199
-0,404875 	 1980,591431
-0,568108 	 1980,648926
-0,805456 	 1980,896729
-0,975104 	 1980,994873
-1,187429 	 1981,822998
-1,384115 	 1981,089233
-1,591032 	 1982,427856
-1,766088 	 1983,287720
-2,013668 	 1983,545532
-2,186231 	 1983,396851
-2,396913 	 1983,578247
-2,582359 	 1984,238037
-2,801046 	 1983,938721
-2,993066 	 1983,534546
-3,212442 	 1983,192017
-3,386066 	 1983,820190
-3,596218 	 1983,845459
-3,799424 	 1983,904175
-4,005016 	 1984,315430
-4,210689 	 1985,429810
-4,451598 	 1986,182739
-4,668773 	 1985,861450
-4,911937 	 1985,635620
-5,136825 	 1986,162231
-5,321127 	 1986,033203
-5,559960 	 1985,893799
-5,774108 	 1986,356323
-6,025698 	 1986,207275
-6,247916 	 1987,407837
