Field(mT)	GrayLevel	
5,810349 	 2078,831543
5,638522 	 2079,193359
5,442835 	 2080,467773
5,273067 	 2081,443848
5,104777 	 2081,268799
4,904445 	 2081,293701
4,751939 	 2080,614990
4,561214 	 2081,090820
4,379674 	 2080,490967
4,187629 	 2080,422852
4,030040 	 2080,432617
3,810611 	 2081,126953
3,622249 	 2080,799561
3,417929 	 2081,235840
3,217532 	 2080,212158
3,044969 	 2078,885254
2,817216 	 2077,790283
2,609769 	 2076,096924
2,425383 	 2074,192871
2,230606 	 2071,860107
2,011336 	 2069,471436
1,840998 	 2066,417480
1,614625 	 2062,225098
1,401398 	 2058,205078
1,227562 	 2053,524658
1,007603 	 2047,584717
0,801110 	 2042,631470
0,613596 	 2038,113647
0,416592 	 2033,177734
0,221497 	 2026,363403
-0,007634 	 2020,601929
-0,200290 	 2014,883789
-0,394325 	 2007,876587
-0,576219 	 2000,471924
-0,804661 	 1992,998779
-0,992175 	 2063,621582
-1,198986 	 2061,970459
-1,392968 	 2061,677490
-1,594478 	 2059,964600
-1,779819 	 2057,668457
-2,015894 	 2055,355957
-2,192858 	 2053,332520
-2,395004 	 2050,132568
-2,604732 	 2046,501709
-2,774751 	 2042,928101
-3,004252 	 2039,802734
-3,203960 	 2036,327271
-3,393594 	 2034,013428
-3,589432 	 2031,426880
-3,789033 	 2028,446533
-3,977978 	 2026,005615
-4,231635 	 2023,472046
-4,432848 	 2020,362061
-4,695059 	 2018,239990
-4,881141 	 2016,814819
-5,124127 	 2014,916748
-5,320712 	 2013,424194
-5,589688 	 2012,084595
-5,790129 	 2010,555054
-6,012822 	 2009,124268
-6,224775 	 2008,931396
-6,013119 	 2009,375366
-5,809295 	 2009,479858
-5,579244 	 2010,481079
-5,347710 	 2011,628296
-5,113447 	 2013,072266
-4,912293 	 2013,634766
-4,657499 	 2015,246460
-4,440028 	 2016,614746
-4,224337 	 2018,947876
-3,985401 	 2020,213257
-3,820100 	 2022,639526
-3,592454 	 2025,283936
-3,407802 	 2028,553345
-3,218433 	 2032,241455
-2,976791 	 2035,510498
-2,784240 	 2038,613647
-2,607753 	 2040,673096
-2,402798 	 2043,501587
-2,196675 	 2046,246948
-2,013668 	 2047,900391
-1,777857 	 2050,992920
-1,578574 	 2052,542480
-1,402140 	 2053,946533
-1,185733 	 2056,253174
-0,996522 	 2057,128662
-0,780857 	 2058,586670
-0,600659 	 2060,244873
-0,374391 	 2062,022217
-0,206546 	 2062,550049
0,027250 	 2062,158691
0,198753 	 2060,370605
0,411768 	 2059,889404
0,629606 	 2057,706543
0,802488 	 2055,049561
1,029127 	 2035,065918
1,222738 	 2037,806274
1,404632 	 2040,687012
1,623849 	 2043,313721
1,839726 	 2045,312500
2,021727 	 2047,648071
2,222388 	 2049,087891
2,426231 	 2050,914307
2,620054 	 2051,245361
2,823366 	 2052,126465
3,004995 	 2053,754150
3,220183 	 2053,544189
3,411991 	 2055,396973
3,620022 	 2053,402100
3,838762 	 2053,313965
4,006820 	 2055,694580
4,206580 	 2056,668945
4,390654 	 2056,613037
4,547753 	 2055,711914
4,733779 	 2055,529297
4,936118 	 2054,924072
5,083239 	 2053,765137
5,256967 	 2053,254639
5,475036 	 2051,256348
5,639472 	 2050,579834
5,781632 	 2048,026123
