Field(mT)	GrayLevel	
5,815100 	 2064,507812
5,604210 	 2064,897461
5,462420 	 2063,976562
5,247517 	 2064,528076
5,083715 	 2064,475098
4,902597 	 2064,102539
4,740483 	 2065,503906
4,575783 	 2065,837646
4,375715 	 2065,870117
4,205366 	 2066,384277
4,013605 	 2065,418945
3,804832 	 2066,491455
3,611169 	 2065,492432
3,426942 	 2066,465088
3,207089 	 2066,301270
3,024558 	 2066,414795
2,822094 	 2066,562012
2,617721 	 2065,939697
2,401791 	 2066,287354
2,219897 	 2064,284912
2,000945 	 2064,440430
1,835114 	 2061,497070
1,608952 	 2059,296875
1,414228 	 2056,420166
1,219451 	 2055,333496
0,999810 	 2053,059326
0,815371 	 2050,169189
0,629606 	 2045,380493
0,416486 	 2042,769775
0,220172 	 2038,847046
0,025341 	 2036,050293
-0,192815 	 2029,998657
-0,394643 	 2025,915771
-0,586345 	 2057,033203
-0,784144 	 2057,527100
-1,011632 	 2056,481445
-1,183347 	 2055,263184
-1,402723 	 2053,210449
-1,593047 	 2050,897705
-1,776320 	 2049,457275
-2,010010 	 2047,301514
-2,200492 	 2045,485107
-2,404494 	 2044,010864
-2,600755 	 2042,764038
-2,810960 	 2040,655518
-2,980820 	 2038,828369
-3,211806 	 2037,591431
-3,396033 	 2036,715576
-3,581055 	 2035,669434
-3,807535 	 2034,020996
-3,987892 	 2031,694214
-4,236560 	 2029,681030
-4,463288 	 2028,923462
-4,651743 	 2028,127441
-4,903749 	 2027,955933
-5,106919 	 2027,856934
-5,354890 	 2026,818481
-5,588442 	 2026,284180
-5,809058 	 2026,602905
-6,037803 	 2026,006958
-6,237948 	 2025,449463
-6,015017 	 2025,946899
-5,809888 	 2028,583984
-5,587255 	 2027,550171
-5,332935 	 2028,905762
-5,130298 	 2029,642212
-4,908792 	 2031,483398
-4,652515 	 2030,505005
-4,454803 	 2031,159424
-4,207900 	 2033,670654
-3,989642 	 2034,641846
-3,795130 	 2037,032837
-3,609153 	 2038,452637
-3,394814 	 2039,261597
-3,202687 	 2040,308350
-2,990097 	 2041,721924
-2,773054 	 2042,955322
-2,606693 	 2045,142090
-2,376290 	 2046,553711
-2,215018 	 2048,683105
-2,010116 	 2050,152100
-1,773881 	 2051,209229
-1,608156 	 2054,184814
-1,382577 	 2054,867187
-1,203175 	 2056,443115
-0,974468 	 2057,392822
-0,813090 	 2058,149902
-0,598221 	 2058,868164
-0,377413 	 2059,366211
-0,185075 	 2059,831055
0,024228 	 2060,213379
0,227382 	 2060,428467
0,389819 	 2060,433105
0,605431 	 2061,318359
0,831063 	 2047,912964
1,005482 	 2050,703369
1,201479 	 2053,913818
1,402246 	 2056,132568
1,618177 	 2058,330811
1,833099 	 2059,141357
2,007731 	 2060,625000
2,233733 	 2062,036621
2,402798 	 2061,478027
2,605103 	 2061,407471
2,812339 	 2062,994141
3,032033 	 2061,643799
3,235399 	 2062,059814
3,430388 	 2062,094971
3,640804 	 2061,809570
3,828212 	 2061,208496
4,028662 	 2060,644043
4,204838 	 2060,228027
4,385797 	 2060,270996
4,541999 	 2059,232422
4,744601 	 2057,989258
4,909196 	 2058,308105
5,084929 	 2058,416260
5,271800 	 2058,889404
5,457721 	 2056,687744
5,631079 	 2057,737061
5,811405 	 2056,860840
