Field(mT)	GrayLevel	
5,785908 	 2082,756836
5,612920 	 2084,493652
5,449222 	 2083,814697
5,284944 	 2086,160156
5,083715 	 2086,844971
4,907770 	 2087,320068
4,721796 	 2086,565186
4,545694 	 2085,317139
4,388490 	 2087,347900
4,189899 	 2087,699707
4,013711 	 2086,063232
3,819093 	 2088,209229
3,616788 	 2086,554687
3,431183 	 2088,260010
3,211913 	 2086,091309
3,036804 	 2086,860352
2,810218 	 2084,657471
2,610670 	 2081,924805
2,408365 	 2080,967773
2,230340 	 2076,858154
2,010911 	 2074,610840
1,814809 	 2071,471436
1,613458 	 2064,240234
1,431352 	 2058,129395
1,198510 	 2049,885986
1,027431 	 2039,832520
0,822846 	 2036,682739
0,635968 	 2026,325195
0,414259 	 2019,065308
0,227116 	 2008,841431
-0,003287 	 2002,224243
-0,181152 	 1993,154541
-0,400475 	 1986,980469
-0,585232 	 1976,121948
-0,796126 	 1969,921753
-1,002884 	 2038,236816
-1,175501 	 2038,066772
-1,378018 	 2034,775513
-1,599780 	 2028,924072
-1,784590 	 2024,517944
-1,992621 	 2023,448242
-2,199697 	 2019,739746
-2,394898 	 2018,898315
-2,579443 	 2013,886230
-2,783286 	 2011,554810
-2,982410 	 2006,765747
-3,195849 	 2003,603027
-3,394019 	 1999,005371
-3,585615 	 1997,518555
-3,810292 	 1993,508545
-4,007455 	 1991,843384
-4,201848 	 1989,811035
-4,469874 	 1986,900024
-4,659754 	 1985,916748
-4,912234 	 1986,300171
-5,104843 	 1984,921021
-5,354119 	 1981,579712
-5,568030 	 1980,683105
-5,779389 	 1981,150513
-6,028724 	 1980,815186
-6,236642 	 1979,800537
-6,022850 	 1979,680298
-5,805972 	 1980,152954
-5,557171 	 1981,873901
-5,352517 	 1983,282959
-5,101164 	 1984,537231
-4,892000 	 1988,477173
-4,671502 	 1990,371460
-4,456464 	 1991,347656
-4,216741 	 1994,681763
-4,004433 	 1995,786499
-3,808065 	 1999,603394
-3,580525 	 2005,712646
-3,414747 	 2009,356323
-3,191872 	 2017,821167
-3,007698 	 2019,896240
-2,774910 	 2024,573364
-2,601286 	 2029,520752
-2,380107 	 2029,686401
-2,175946 	 2034,221924
-1,989228 	 2037,828979
-1,773669 	 2042,312012
-1,583186 	 2045,853394
-1,374784 	 2048,547607
-1,205825 	 2048,165039
-0,975104 	 2052,941895
-0,805350 	 2052,766602
-0,571766 	 2055,856934
-0,386479 	 2055,962158
-0,172669 	 2057,893066
0,001856 	 2057,004395
0,225950 	 2060,084229
0,426718 	 2059,098389
0,632416 	 2060,098389
0,797399 	 2058,000244
0,997318 	 2042,556763
1,217330 	 2046,906006
1,400391 	 2054,995605
1,596705 	 2059,030273
1,831615 	 2060,586182
2,014410 	 2066,734619
2,227637 	 2071,516602
2,406827 	 2074,056152
2,621379 	 2075,635742
2,794685 	 2076,708984
3,034472 	 2081,590820
3,235876 	 2082,965332
3,428479 	 2083,020996
3,632905 	 2081,610352
3,809021 	 2083,939941
4,038204 	 2084,247314
4,211542 	 2083,468750
4,356658 	 2085,472900
4,562269 	 2083,217529
4,723750 	 2082,743408
4,942452 	 2083,378662
5,093639 	 2083,305664
5,255119 	 2080,858887
5,435656 	 2083,004639
5,615242 	 2085,053711
5,810243 	 2086,879639
